,0
2021-01-04,10000.0
2021-01-05,12415.474537588398
2021-01-06,12264.388235557326
2021-01-07,12492.192584640954
2021-01-08,12565.07895944119
2021-01-11,12433.296892976894
2021-01-12,12313.327675774315
2021-01-13,12373.407768695022
2021-01-14,12217.685129205005
2021-01-15,12201.388117884808
2021-01-19,12349.852987475137
2021-01-20,12596.303369286095
2021-01-21,12603.88865728301
2021-01-22,12574.63142057407
2021-01-25,12732.126068584192
2021-01-26,12836.431101719963
2021-01-27,12720.007944190533
2021-01-28,12978.567570231167
2021-01-29,12659.788419827113
2021-02-01,12933.141181774012
2021-02-02,12984.17731139581
2021-02-03,10275.351886588745
2021-02-04,10260.012604613974
2021-02-05,9027.529783129103
2021-02-08,9113.50313344361
2021-02-09,9176.517641237864
2021-02-10,9250.896149575849
2021-02-11,9323.519862279249
2021-02-12,9250.59595114217
2021-02-16,9225.084657796262
2021-02-17,9226.139255056893
2021-02-18,9228.58844099853
2021-02-19,9147.91172010336
2021-02-22,9015.044872669856
2021-02-23,8993.391893210679
2021-02-24,10077.709869879414
2021-02-25,9802.710665642919
2021-02-26,9901.705491167228
2021-03-01,10036.026983482829
2021-03-02,9950.34940157589
2021-03-03,9732.493649958396
2021-03-04,9696.15614356376
2021-03-05,9951.737489765535
2021-03-08,9792.001295176626
2021-03-09,10005.187326189602
2021-03-10,9992.40366000679
2021-03-11,10135.963036877183
2021-03-12,10117.966018081313
2021-03-15,10122.821526996639
2021-03-16,10207.27968564086
2021-03-17,10179.010048742237
2021-03-18,10041.113524879594
2021-03-19,10108.753039558545
2021-03-22,10316.701936122558
2021-03-23,10377.3092530769
2021-03-24,10296.633251665637
2021-03-25,10253.073399477775
2021-03-26,10449.486442936279
2021-03-29,10498.637260521502
2021-03-30,10354.006500756472
2021-03-31,10436.136961905757
2021-04-01,10562.9309790131
2021-04-05,10752.666415339876
2021-04-06,10698.581950072587
2021-04-07,10762.547828271297
2021-04-08,10813.988284291485
2021-04-09,10930.083568276026
2021-04-12,11020.145387266752
2021-04-13,11101.298359552762
2021-04-14,10998.182503334603
2021-04-15,11233.03200232389
2021-04-16,11277.490082722814
2021-04-19,11195.468045812022
2021-04-20,11226.075521680166
2021-04-21,11324.22242083279
2021-04-22,11183.722886450743
2021-04-23,11308.113777274828
2021-04-26,11258.15453904647
2021-04-27,11238.269603468401
2021-04-28,11078.970448502474
2021-04-29,11132.412757560103
2021-04-30,11085.395521510702
2021-05-03,11137.165226856643
2021-05-04,11010.480111126528
2021-05-05,11003.33281228746
2021-05-06,11114.953126431406
2021-05-07,11204.791118910975
2021-05-10,11103.68642187578
2021-05-11,11017.762700325515
2021-05-12,10774.937921471741
2021-05-13,10898.310592923293
2021-05-14,11054.14021712701
2021-05-17,10980.274519293458
2021-05-18,10925.101561755902
2021-05-19,10933.721434441184
2021-05-20,11079.004803223945
2021-05-21,11107.48197927907
2021-05-24,11276.917376374924
2021-05-25,11317.788447924471
2021-05-26,11319.86125613864
2021-05-27,11220.343150832814
2021-05-28,11327.473793077788
2021-06-01,11255.056553299723
2021-06-02,11311.714429153819
2021-06-03,11326.290810988085
2021-06-04,11463.996444543613
2021-06-07,11488.094365390065
2021-06-08,11429.219358896666
2021-06-09,11428.005071037893
2021-06-10,11531.774605547873
2021-06-11,11564.353126076045
2021-06-14,11643.708956734128
2021-06-15,11601.261617109343
2021-06-16,11537.820885177916
2021-06-17,11712.68422969009
2021-06-18,11582.348977216203
2021-06-21,11689.21815764722
2021-06-22,11791.901762658106
2021-06-23,11745.37865282932
2021-06-24,11820.35433907638
2021-06-25,11824.264103478636
2021-06-28,11975.743666315724
2021-06-29,12005.015755775848
2021-06-30,12033.679899164537
2021-07-01,12091.508300679809
2021-07-02,12262.28978414437
2021-07-06,12292.986352987318
2021-07-07,12321.830200493889
2021-07-08,12224.815806183758
2021-07-09,12251.917894645198
2021-07-12,12309.085239366532
2021-07-13,12434.64643902992
2021-07-14,12433.98380818086
2021-07-15,12367.398105617365
2021-07-16,12293.921937017883
2021-07-19,12231.368465308678
2021-07-20,12276.518030620467
2021-07-21,12387.201381232075
2021-07-22,12491.653719730244
2021-07-23,12602.422175549085
2021-07-26,12540.477683194615
2021-07-27,12516.52189104718
2021-07-28,12475.783487945047
2021-07-29,12519.231052565377
2021-07-30,12479.787193080676
2021-08-02,12507.762708232478
2021-08-03,12596.142572312927
2021-08-04,12571.974293113664
2021-08-05,12607.617957113704
2021-08-06,12602.128231326828
2021-08-09,12552.729395254733
2021-08-10,12491.847184707101
2021-08-11,12468.194375214567
2021-08-12,12528.239955082097
2021-08-13,12660.08187573023
2021-08-16,12741.553908288559
2021-08-17,12689.192065174766
2021-08-18,12557.609806018327
2021-08-19,12851.233184709125
2021-08-20,9899.944732826123
2021-08-23,10089.432490745923
2021-08-24,10003.72471637994
2021-08-25,10050.99167208153
2021-08-26,9994.161998522013
2021-08-27,10123.043986831284
2021-08-30,10153.707008929036
2021-08-31,10092.18366552465
2021-09-01,10142.12399439044
2021-09-02,10170.95659520346
2021-09-03,10257.155067329035
2021-09-07,10156.731137211274
2021-09-08,10108.731042702137
2021-09-09,10050.634079163741
2021-09-10,10052.901323000711
2021-09-13,10054.25490873814
2021-09-14,10047.636589833353
2021-09-15,10113.718177359095
2021-09-16,10080.447168224597
2021-09-17,10000.433357177648
2021-09-20,9793.03125385422
2021-09-21,9815.640562744067
2021-09-22,9942.286566171326
2021-09-23,10047.503479262312
2021-09-24,9964.957829814157
2021-09-27,9839.866052680394
2021-09-28,9577.653089763207
2021-09-29,9579.113137898454
2021-09-30,9523.297411288364
2021-10-01,9549.575701554673
2021-10-04,9304.644908217684
2021-10-05,9500.993359573256
2021-10-06,9638.981984708145
2021-10-07,9801.879065012949
2021-10-08,9766.930188668137
2021-10-11,9725.536094782035
2021-10-12,9726.177107372692
2021-10-13,9803.709733202291
2021-10-14,10083.29712817023
2021-10-15,10139.04511910857
2021-10-18,10174.92670775211
2021-10-19,10230.848969761628
2021-10-20,10279.9433989356
2021-10-21,10389.075246963064
2021-10-22,10451.179212481771
2021-10-25,10523.099848681406
2021-10-26,10899.049765100805
2021-10-27,10828.11286912618
2021-10-28,10957.332934337945
2021-10-29,11107.823817163699
2021-11-01,11116.206716897479
2021-11-02,11249.83872333662
2021-11-03,11351.966463468521
2021-11-04,11978.461579746981
2021-11-05,12000.463670400914
2021-11-08,12167.028847970996
2021-11-09,12171.322827577253
2021-11-10,11922.778189504585
2021-11-11,12062.330049477852
2021-11-12,12070.334167185189
2021-11-15,14796.877186563544
2021-11-16,14856.170374077155
2021-11-17,14765.157809376125
2021-11-18,15043.302224092957
2021-11-19,15159.63744925906
2021-11-22,14995.898137743887
2021-11-23,15015.520509537866
2021-11-24,15094.497702480308
2021-11-26,14724.262717787751
2021-11-29,15160.404982814645
2021-11-30,14849.385916256255
2021-12-01,14728.018959049452
2021-12-02,14828.84069606006
2021-12-03,14692.939230819407
2021-12-06,14780.813537146028
2021-12-07,15187.347318363905
2021-12-08,15158.511179072504
2021-12-09,15015.274942942493
2021-12-10,15234.724988818012
2021-12-13,14998.515847482759
2021-12-14,14823.729435194167
2021-12-15,15271.744598467449
2021-12-16,14897.494821892285
2021-12-17,14711.65861724389
2021-12-20,14642.45818115606
2021-12-21,14911.005186587507
2021-12-22,15106.177453791726
2021-12-23,15158.166981825478
2021-12-27,15479.942936246794
2021-12-28,15436.79739368406
2021-12-29,15445.395355681452
2021-12-30,15346.389697696872
2021-12-31,15287.718195450598
2022-01-03,15315.22028714656
2022-01-04,15076.997543342804
2022-01-05,14700.35298715164
2022-01-06,14603.095603898382
2022-01-07,13183.617984145876
2022-01-10,13273.860303281639
2022-01-11,13371.578371826705
2022-01-12,13498.590406262298
2022-01-13,13056.985588202504
2022-01-14,13199.940560294815
2022-01-18,12882.279707752852
2022-01-19,12828.851278627646
2022-01-20,12714.332870024817
2022-01-21,12521.91656793693
2022-01-24,12539.81173335524
2022-01-25,12240.863111052142
2022-01-26,12443.946304470292
2022-01-27,12451.695620704151
2022-01-28,12734.19552423013
2022-01-31,13015.201007297848
2022-02-01,12945.647980810943
2022-02-02,13212.408075762243
2022-02-03,12975.359072939202
2022-02-04,13030.127164679212
2022-02-07,12990.406189494428
2022-02-08,13197.929735246995
2022-02-09,13521.439738118572
2022-02-10,13156.323911418884
2022-02-11,12750.210446673398
2022-02-14,12739.245582255753
2022-02-15,13094.898395897348
2022-02-16,13110.699829565696
2022-02-17,12654.539156541832
2022-02-18,12493.11832088365
2022-02-22,12405.731287399696
2022-02-23,12146.61066455528
2022-02-24,12485.598894474915
2022-02-25,12793.762253959692
2022-02-28,12843.007720742238
2022-03-01,12691.83767503314
2022-03-02,12957.199284769045
2022-03-03,12847.354559262874
2022-03-04,12800.721769645457
2022-03-07,12325.195992633795
2022-03-08,12139.093649255426
2022-03-09,12639.33531945739
2022-03-10,13986.331508039839
2022-03-11,13801.845860953197
2022-03-14,13759.202952196563
2022-03-15,14242.882718578694
2022-03-16,14548.314762146994
2022-03-17,14644.031857248716
2022-03-18,14981.494325561329
2022-03-21,14977.048469226618
2022-03-22,15119.622832909135
2022-03-23,14915.33621737151
2022-03-24,15285.880495580317
2022-03-25,15267.703759100797
2022-03-28,15462.156354622675
2022-03-29,15695.14475894929
2022-03-30,15563.310593994678
2022-03-31,15402.292807598587
2022-04-01,15470.332866114844
2022-04-04,15610.190614383555
2022-04-05,15407.224236131417
2022-04-06,15189.229323039239
2022-04-07,15208.979095394649
2022-04-08,15051.786059657381
2022-04-11,14708.400567504761
2022-04-12,14643.642585751662
2022-04-13,14794.881991520058
2022-04-14,14519.07715035561
2022-04-18,14517.069184155389
2022-04-19,14749.98519907168
